의도(Intent),개체명(NER),언어(Language),키워드(Keyword),설명(Description),타이틀(Title),질문(Query),답변(Answer),답변이미지
정의,B_LV1,c,출력,printf 출력함수 출력,출력함수 printf,{B_LV1}에 대해 알려줘,"답변: 출력함수 printf를 사용하면 화면에 출력할 수 있습니다. printf(""...""); 와 같이 print함수 안에서 큰 따옴표를 사용하면 원하는 문자열을 출력할 수 있습니다. 형식 지정자를 사용해서 출력하면 원하는 형식의 데이터를 출력할 수 있습니다. Int형의 형식 지정자는 %d, char형의 형식 지정자는 %c, float와 double형의 형식 지정자는 %f, 문자열의 형식 지정자는 %s 입니다.

예시) 
int num = 100;
printf(""num = %d"", num);
실행결과) num = 100",
정의,B_LV1,c,printf,,,{B_LV1}에 대해 알려줘,"답변: 출력함수 printf를 사용하면 화면에 출력할 수 있습니다. printf(""...""); 와 같이 print함수 안에서 큰 따옴표를 사용하면 원하는 문자열을 출력할 수 있습니다. 형식 지정자를 사용해서 출력하면 원하는 형식의 데이터를 출력할 수 있습니다. Int형의 형식 지정자는 %d, char형의 형식 지정자는 %c, float와 double형의 형식 지정자는 %f, 문자열의 형식 지정자는 %s 입니다.

예시) 
int num = 100;
printf(""num = %d"", num);
실행결과) num = 100",
정의,B_LV1,c,출력함수,,,{B_LV1}에 대해 알려줘,"답변: 출력함수 printf를 사용하면 화면에 출력할 수 있습니다. printf(""...""); 와 같이 print함수 안에서 큰 따옴표를 사용하면 원하는 문자열을 출력할 수 있습니다. 형식 지정자를 사용해서 출력하면 원하는 형식의 데이터를 출력할 수 있습니다. Int형의 형식 지정자는 %d, char형의 형식 지정자는 %c, float와 double형의 형식 지정자는 %f, 문자열의 형식 지정자는 %s 입니다.

예시) 
int num = 100;
printf(""num = %d"", num);
실행결과) num = 100",
정의,B_LV1,c,줄바꿈,줄바꿈 개행 출력,줄바꿈 출력,{B_LV1}에 대해 알려줘,"답변: 줄 바꿈 기호는 \n 또는 역슬래시n 입니다. 명령을 두줄에 걸쳐 작성한다고 해서 줄 바꿈이 일어나지 않습니다.  

예시) printf(""Hello World!\n"");",
정의,B_LV1,c,개행,,,{B_LV1}에 대해 알려줘,"답변: 줄 바꿈 기호는 \n 또는 역슬래시n 입니다. 명령을 두줄에 걸쳐 작성한다고 해서 줄 바꿈이 일어나지 않습니다.  

예시) printf(""Hello World!\n"");",
정의,B_LV1,c,탭 출력,탭 tab 출력,탭 출력,{B_LV1}에 대해 알려줘,"답변: 탭 기호는 \t 또는 역슬래시t 입니다. 

예시) printf(""\t Hello World!"");
실행 결과)      Hello World!",
정의,B_LV1,c,tab 출력,,,{B_LV1}에 대해 알려줘,"답변: 탭 기호는 \t 또는 역슬래시t 입니다. 

예시) printf(""\t Hello World!"");
실행 결과)      Hello World!",
정의,B_LV1,c,따옴표 출력,기호 출력 따옴표 출력,따옴표 출력,{B_LV1}에 대해 알려줘,"답변: 큰 따옴표/작은 따옴표를 출력하려면 \또는 역슬래시를 따옴표 기호 앞에 붙여서 사용하세요. 
예시) printf(""\""Hello World!\""""); 
실행 결과) ""Hello World""",
정의,B_LV1,c,큰따옴표 출력,,,{B_LV1}에 대해 알려줘,"답변: 큰 따옴표/작은 따옴표를 출력하려면 \또는 역슬래시를 따옴표 기호 앞에 붙여서 사용하세요. 
예시) printf(""\""Hello World!\""""); 
실행 결과) ""Hello World""",
정의,B_LV1,c,작은따옴표 출력,,,{B_LV1}에 대해 알려줘,"답변: 큰 따옴표/작은 따옴표를 출력하려면 \또는 역슬래시를 따옴표 기호 앞에 붙여서 사용하세요. 
예시) printf(""\""Hello World!\""""); 
실행 결과) ""Hello World""",
정의,B_LV1,c,퍼센트 출력,퍼센트 출력,퍼센트 출력,{B_LV1}에 대해 알려줘,"답변: % 기호를 출력하려면 ""%%""와 같이 2번 연속으로 사용하세요.

예시) printf(""퍼센트 출력: %%"");
실행 결과) 퍼센트 출력: %\n",
정의,B_LV1,c,변수 선언,변수 선언,변수 선언,{B_LV1}에 대해 알려줘,"답변: 변수란 값을 저장할 수 있는 메모리 공간입니다. 변수를 사용하려면 먼저 변수 선언을 해주어야 합니다. 변수 선언은 변수의 자료형, 이름을 지정해주는 것입니다. 자료형은 정수형, 문자형, 부동소수점형 등 어떤 형식의 값을 변수에 저장할 것인지 지정하는 것으로 변수명 앞에 붙여서 사용합니다. 변수명은 용도를 알아볼 수 있도록 의미를 부여하는 것이 좋습니다. 

예시) int sum;
double average;",
정의,B_LV1,c,변수 초기화,변수 초기화,변수 초기화,{B_LV1}에 대해 알려줘,"답변: 초기화란 데이터를 변수에 저장하는 것입니다. 초기화는 변수 선언과 동시에 할 수도 있습니다.

예시) int num = 100;",
